,ResultItemID,ResultCount
900001,110001,1
900002,110002,1
900003,110003,1
900004,110004,1
900005,110005,1
900006,110006,1
900007,110007,1
900008,110008,1
900009,110009,1
900010,110010,1
900011,110011,1
900012,110012,1
900013,120001,1
900014,120002,1
900015,120003,1
900016,120004,1
900017,200001,1
900018,200002,1
900019,200003,1
900020,200004,1
900021,200005,1
900022,200006,1
900023,400001,1
900024,400002,1
900025,400003,1
900026,500001,1
900027,501001,1
900028,501002,1
900029,501003,1
900030,501004,1
900031,501005,1
900032,502001,1
900033,502002,1
900034,502003,1
900035,502004,1
900036,600001,1
900037,600002,1
